 8521 -- Daemon is ready to start
 8521 -- I am starter, daemon started
 8522 -- I am daemon, I am running
 8522 -- I am daemon, I am running
 8522 -- I am daemon, I am running
 8522 -- I am daemon, I am running
 8522 -- I am daemon, I am running
 8522 -- I am daemon, I am running
 8522 -- I am daemon, I am running
 8522 -- I am daemon, I am running
 8522 -- I am daemon, I am running
 8522 -- I am daemon, I am running
 8522 -- I am daemon, I am running
 8522 -- I am daemon, I am running
 8522 -- I am daemon, I am running
 8522 -- I am daemon, I am running
 8522 -- I am daemon, I am running
 8522 -- I am daemon, I am running
 8522 -- I am daemon, I am running
 8522 -- I am daemon, I am running
 8522 -- I am daemon, I am running
 8522 -- I am daemon, I am running
 8522 -- I am daemon, I am running
 8522 -- I am daemon, I am running
 8522 -- I am daemon, I am running
 8522 -- I am daemon, I am running
 8522 -- I am daemon, I am running
 8522 -- I am daemon, I am running
 8522 -- I am daemon, I am running
 8522 -- I am daemon, I am running
 8522 -- I am daemon, I am running
 8522 -- I am daemon, I am running
 8522 -- I am daemon, I am running
 8522 -- I am daemon, I am running
 8522 -- I am daemon, I am running
 8522 -- I am daemon, I am running
 8522 -- I am daemon, I am running
 8522 -- I am daemon, I am running
 8522 -- I am daemon, I am running
 8522 -- I am daemon, I am running
 8522 -- I am daemon, I am running
 8522 -- I am daemon, I am running
 8522 -- I am daemon, I am running
 8522 -- I am daemon, I am running
 8522 -- I am daemon, I am running
 8522 -- I am daemon, I am running
 8522 -- I am daemon, I am running
 8522 -- I am daemon, I am running
 8522 -- I am daemon, I am running
 8522 -- I am daemon, I am running
 8522 -- I am daemon, I am running
 8522 -- I am daemon, I am running
 8522 -- I am daemon, I am running
 8522 -- Terminating
 9998 -- Daemon is ready to start
 9998 -- I am starter, daemon started
 9999 -- I am daemon, I am running
 9999 -- I am daemon, I am running
 9999 -- I am daemon, I am running
 9999 -- I am daemon, I am running
10000 -- Daemon is ready to start
10000 -- Already started, terminating

 9999 -- I am daemon, I am running
 9999 -- I am daemon, I am running
 9999 -- I am daemon, I am running
 9999 -- I am daemon, I am running
 9999 -- I am daemon, I am running
 9999 -- I am daemon, I am running
 9999 -- I am daemon, I am running
 9999 -- I am daemon, I am running
 9999 -- I am daemon, I am running
 9999 -- I am daemon, I am running
 9999 -- I am daemon, I am running
 9999 -- I am daemon, I am running
 9999 -- I am daemon, I am running
 9999 -- I am daemon, I am running
 9999 -- I am daemon, I am running
 9999 -- I am daemon, I am running
 9999 -- I am daemon, I am running
 9999 -- I am daemon, I am running
 9999 -- I am daemon, I am running
 9999 -- I am daemon, I am running
 9999 -- I am daemon, I am running
 9999 -- I am daemon, I am running
 9999 -- I am daemon, I am running
 9999 -- I am daemon, I am running
 9999 -- Terminating
12957 -- Daemon is ready to start
12957 -- I am starter, daemon started
12958 -- I am daemon, I am running
12966 -- Daemon is ready to start
12966 -- Already started, terminating

12958 -- Terminating
